"Player Name","Country","Role","Bat Mat","Bat Inns","Runs","Bat Avg","Bat SR","100s","50s","HS","Bowl Mat","Bowl Inns","Wickets","Bowl Avg","Econ","Bowl SR","BBI","5W"
"Sachin Tendulkar","IND","Batter","84","75","750","10","130.66","0","3","30","84","47","1","34.2","8.22","24.96","1/35","0"
"Virat Kohli","IND","Batter","96","86","4446","51.7","136.28","2","17","104","96","0","0","0","0","0","0/0","0"
"Rohit Sharma","IND","Batter","83","66","2065","31.3","157.95","1","8","93","83","78","1","38.5","6.59","35.02","1/56","0"
"Rahul Dravid","IND","Batter","53","47","1457","31","148.27","0","5","93","53","0","0","0","0","0","0/0","0"
"Virender Sehwag","IND","Batter","73","65","1417","21.8","155.21","0","5","65","73","0","0","0","0","0","0/0","0"
"MS Dhoni","IND","WK-Batter","71","63","2368","37.6","124.43","1","9","112","71","0","0","0","0","0","0/0","0"
"Ravi Ashwin","IND","All-Rounder","92","0","0","0","0","0","0","0","92","87","72","27.86","6.61","25.29","5/33","1"
"Ravindra Jadeja","IND","All-Rounder","111","99","2118","21.4","124.82","1","8","64","111","103","53","34.76","8.09","25.79","5/18","1"
"Jasprit Bumrah","IND","Bowler","110","99","356","4","116.89","0","1","12","110","103","74","26.02","7.92","19.72","5/21","1"
"Zaheer Khan","IND","Bowler","115","58","417","8","99.86","0","1","24","115","109","17","31.1","8.04","23.21","4/34","0"
"Yuvraj Singh","IND","All-Rounder","99","89","2492","28","145.59","1","9","84","99","60","28","37.49","7.53","29.86","6/37","0"
"Ricky Ponting","AUS","Batter","64","57","1630","28.6","150.07","1","6","85","64","0","0","0","0","0","0/0","0"
"Steve Smith","AUS","Batter","70","63","1587","25.2","140.9","1","6","75","70","0","0","0","0","0","0/0","0"
"David Warner","AUS","Batter","103","92","3017","32.8","151.08","2","12","98","103","0","0","0","0","0","0/0","0"
"Adam Gilchrist","AUS","WK-Batter","78","70","1904","27.2","141.04","1","7","81","78","0","0","0","0","0","0/0","0"
"Matthew Hayden","AUS","Batter","106","95","4873","51.3","153.18","3","19","118","106","0","0","0","0","0","0/0","0"
"Glenn McGrath","AUS","Bowler","100","81","364","5","116.55","0","1","15","100","95","5","29.48","7.78","22.74","5/13","0"
"Pat Cummins","AUS","Bowler","98","60","550","10.2","117.31","0","2","30","98","93","57","32.3","7.55","25.66","4/32","1"
"Mitchell Starc","AUS","Bowler","73","53","543","11.4","114.8","0","2","34","73","69","74","29.45","8.06","21.93","4/37","1"
"Brett Lee","AUS","Bowler","64","0","0","0","0","0","0","0","64","60","28","28.82","7.05","24.53","6/22","0"
"Mitchell Johnson","AUS","Bowler","114","74","666","10","97.99","0","2","30","114","108","38","26.72","8.25","19.43","6/24","0"
"Michael Clarke","AUS","Batter","68","61","1293","21.2","148.28","0","5","63","68","51","6","35.78","8.39","25.58","4/56","0"
"Inzamam-ul-Haq","PAK","Batter","119","107","1177","11","155.42","0","4","33","119","0","0","0","0","0","0/0","0"
"Babar Azam","PAK","Batter","103","92","3808","41.4","136.45","2","15","100","103","0","0","0","0","0","0/0","0"
"Mohammad Rizwan","PAK","WK-Batter","79","71","3479","49","121.49","2","13","108","79","0","0","0","0","0","0/0","0"
"Shaheen Afridi","PAK","Bowler","84","75","405","6","96.01","0","1","18","84","68","73","33.12","6.5","30.56","5/35","1"
"Shoaib Akhtar","PAK","Bowler","64","0","0","0","0","0","0","0","64","60","19","34.32","7.31","28.17","4/44","0"
"Younis Khan","PAK","Batter","82","73","1613","22.1","146.03","1","6","66","82","48","3","27.75","6.85","24.29","2/28","0"
"Shahid Afridi","PAK","All-Rounder","118","85","1632","19.2","132.29","1","6","57","118","112","98","28.85","7.02","24.66","5/45","2"
"Mohammad Yousuf","PAK","Batter","60","54","1350","25","145.69","0","5","75","60","0","0","0","0","0","0/0","0"
"Misbah-ul-Haq","PAK","Batter","101","90","3375","37.5","134.17","2","13","112","101","0","0","0","0","0","0/0","0"
"Joe Root","ENG","Batter","115","103","3677","35.7","156.97","2","14","107","115","0","0","0","0","0","0/0","0"
"Alastair Cook","ENG","Batter","108","97","1474","15.2","139.72","0","5","45","108","0","0","0","0","0","0/0","0"
"Ben Stokes","ENG","All-Rounder","88","63","1360","21.6","143.07","0","5","64","88","83","26","26.76","6.95","23.1","5/18","0"
"James Anderson","ENG","Bowler","73","45","243","6","118.48","0","0","18","73","69","18","28.3","7.15","23.74","4/36","0"
"Stuart Broad","ENG","Bowler","51","0","0","0","0","0","0","0","51","48","65","26.11","8.35","18.75","4/38","1"
"Jos Buttler","ENG","WK-Batter","50","45","1584","35.2","142.22","1","6","105","50","0","0","0","0","0","0/0","0"
"Kevin Pietersen","ENG","Batter","86","77","2918","37.9","155.04","1","11","113","86","58","1","30.46","6.99","26.15","1/17","0"
"Jonny Bairstow","ENG","WK-Batter","100","90","2655","29.5","127.24","1","10","88","100","0","0","0","0","0","0/0","0"
"Eoin Morgan","ENG","Batter","93","83","2365","28.5","130.08","1","9","85","93","0","0","0","0","0","0/0","0"
"Jofra Archer","ENG","Bowler","68","61","411","7.5","114.35","0","1","22","68","54","28","37.63","7.69","29.36","4/17","0"
"Andrew Flintoff","ENG","All-Rounder","110","99","1336","13.5","123.62","0","5","40","110","76","5","39.21","8.13","28.92","5/49","0"
"Graeme Swann","ENG","Bowler","119","107","963","10","115.78","0","3","30","119","89","51","25.68","6.65","23.18","5/14","1"
"Moeen Ali","ENG","All-Rounder","117","67","1427","21.3","134.45","0","5","63","117","111","46","39.56","7.6","31.22","4/59","1"
"Jacques Kallis","RSA","All-Rounder","81","66","2310","35","149.42","1","9","105","81","76","12","35.29","7.42","28.53","6/23","0"
